No.,StatusOrtu,Penghasilan,Status_Rumah,JMotor,Jmobil,DayaLis,KIPK
279,1,3000000,0,1,0,3,0
280,4,1500000,1,2,0,2,1
281,1,2000000,1,2,0,1,1
282,1,1000000,0,1,0,2,1
283,1,4000000,1,3,0,2,0
284,1,1750000,0,1,0,1,1
285,1,4000000,1,4,0,2,0
286,1,30000000,1,1,1,3,0
287,1,6000000,1,1,1,2,0
288,2,1500000,0,2,0,3,1
289,2,0,1,3,0,1,0
290,1,4500000,1,1,1,3,0
291,1,14500000,1,2,1,3,0
292,1,10000000,1,2,1,3,0
293,1,12000000,1,4,0,3,0
294,1,3000000,1,1,0,2,1
295,1,2500000,1,2,3,1,0
296,1,2700000,1,2,1,2,0
297,1,25000000,1,3,2,3,0
298,1,3500000,1,2,0,3,0
299,1,19000000,1,2,2,3,0
300,1,15000000,1,1,1,3,0
301,1,1500000,1,2,0,2,1
302,1,4500000,1,2,0,2,0
303,1,7000000,1,2,1,3,0
304,1,5900000,1,2,0,2,0
305,1,3000000,1,2,0,2,1
306,2,4000000,1,3,0,2,0
307,1,4000000,1,3,1,2,0
308,1,2500000,1,1,0,2,0
309,1,10000000,1,2,1,2,0
310,1,5300000,1,1,0,1,0
311,1,7000000,1,2,0,2,0
312,1,2000000,1,3,0,2,0
313,1,5000000,1,2,1,3,0
314,1,4000000,1,3,0,2,0
315,1,20000000,1,3,1,3,0
316,1,3000000,1,3,0,2,0
317,1,10720000,1,2,1,3,0
318,1,6000000,0,2,0,3,0
319,1,6500000,1,1,1,1,0
320,1,6000000,1,2,0,3,0
321,1,18000000,1,2,1,3,0
322,1,3000000,0,2,0,3,1
323,1,4000000,1,1,0,2,0
324,1,4000000,1,2,1,2,0
325,1,4000000,1,2,0,3,0
326,2,2000000,1,2,0,2,0
327,1,2000000,0,2,0,1,1
328,1,3000000,1,3,0,1,0
329,1,5238400,1,3,0,2,0
330,2,3000000,1,2,0,3,0
331,1,1000000,0,1,0,1,0
332,1,10000000,1,2,0,2,0
333,1,8000000,1,2,0,3,0
334,2,6000000,1,2,1,2,0
335,1,3000000,1,2,0,2,0
336,1,17000000,1,1,1,3,0
337,1,6000000,1,2,0,3,0
338,1,3000000,1,2,0,1,0
339,1,4300000,0,2,0,2,0
340,1,3500000,0,2,0,2,0
341,1,5906900,1,2,0,2,0
342,1,3300000,1,2,0,2,0
343,1,3500000,1,1,0,2,0
344,1,15000000,1,3,0,2,0
345,4,10000000,1,3,0,3,0
346,1,8000000,1,2,1,2,0
347,1,500000,1,2,0,1,1
348,1,0,1,2,1,3,0
349,1,5000000,0,1,0,3,0
350,1,5203157,1,3,1,2,0
351,1,7000000,1,3,1,2,0
352,1,10000000,1,2,1,3,0
353,1,1200000,1,1,0,1,1
354,1,3800000,1,1,0,3,0
355,1,6000000,1,1,0,2,0
356,1,6000000,1,1,1,2,0
357,1,0,0,2,0,2,1
358,1,2000000,0,1,0,3,1
359,1,3000000,1,2,0,2,0
360,2,2500000,1,2,1,3,0
361,1,4700000,1,2,0,2,0
362,1,7000000,1,2,1,3,0
363,1,3000000,1,2,1,2,0
364,1,1500000,1,2,0,3,1
365,2,1700000,1,2,1,3,0
366,1,3500000,1,1,1,2,0
367,1,5000000,1,1,0,2,0
368,1,2500000,1,2,0,2,1
369,1,3500000,1,1,0,3,0
370,1,4000000,1,2,0,2,0
371,1,16000000,1,3,1,3,0
372,1,10000000,1,2,1,3,0
373,1,7000000,1,2,1,2,0
374,1,1000000,1,3,0,2,1
375,1,5500000,1,2,1,2,0
376,4,5000000,1,2,0,3,0
377,1,3000000,0,2,1,2,0
378,1,2500000,1,2,1,3,0
379,1,3500000,1,3,1,3,0
380,1,3200000,1,3,0,2,1
381,1,1500000,1,3,0,2,1
382,1,2400000,1,2,0,2,0
383,1,4700000,1,1,1,3,0
384,1,1800,1,3,0,1,0
385,1,10000000,0,3,0,2,0
386,1,2200000,1,1,0,1,1
387,1,7000000,1,3,0,2,0
388,1,5000000,1,3,0,2,0
389,1,5000000,1,2,0,3,0
390,1,7500000,1,1,1,3,0
391,1,4300000,1,2,0,2,0
392,1,4200000,0,2,0,2,0
393,1,4000000,1,2,0,3,0
394,1,5000000,0,3,0,3,0
395,1,5000000,1,2,0,3,0
396,1,4700000,0,2,0,3,0
397,1,1000000,1,4,0,3,0
398,1,5000000,1,2,1,3,0
399,1,5000000,1,2,0,2,0
400,1,2500000,1,2,0,2,0
401,1,1000000,1,2,0,1,1
402,1,6769024,1,3,0,2,0
403,1,2500000,1,2,0,2,0
404,1,1000000,1,1,0,1,0
405,1,0,1,1,0,3,0
406,1,1500000,1,2,0,3,0
407,1,5000000,1,3,0,2,0
408,1,4500000,1,2,1,1,0
409,1,6000000,1,1,0,2,0
410,1,1200000,0,2,0,3,1
411,1,2200000,1,2,0,2,0
412,1,10000000,1,2,1,2,0
413,1,6850000,1,2,0,2,0
414,1,2000000,1,3,0,2,0
415,1,4000000,0,3,0,2,0
416,1,7602033,1,2,0,2,0
417,1,3000000,1,2,0,2,0
418,1,6000000,1,2,0,1,0
419,2,2000000,0,1,0,1,1
420,1,2000000,1,2,0,2,0
421,1,1000000,1,1,0,2,1
422,1,5700000,1,3,0,2,0
423,1,3500000,1,4,1,2,0
424,1,1300000,1,1,1,2,0
425,1,15000000,1,3,1,3,0
426,1,500000,0,2,1,2,0
427,1,3000000,1,1,1,2,0
428,1,4362600,1,2,0,2,0
429,1,1500000,0,1,0,3,0
430,1,8500000,1,1,1,3,0
431,1,2500000,1,2,0,3,0
